Config: 
--------------------------------------------
leader L2 of team T0 discovered at 29066.000000 that M39 is in danger (after 5473ms proces-to-process, 3318ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29322.000000 that M38 is in danger (after 3566ms proces-to-process, 3131ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 34984.000000 that M37 is in danger (after 12052ms proces-to-process, 9889ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 19273.000000 that M36 is in danger (after 3628ms proces-to-process, 1411ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L2 of team T0 discovered at 34079.000000 that M35 is in danger (after 6204ms proces-to-process, 2818ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M34 is in danger (after 8311ms proces-to-process, 7087ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 31124.000000 that M33 is in danger (after 3468ms proces-to-process, 1112ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 31124.000000 that M32 is in danger (after 10018ms proces-to-process, 8232ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L2 of team T0 discovered at 28631.000000 that M31 is in danger (after 10970ms proces-to-process, 9644ms node-to-node, 4hops, 3versions (8 first, 11 discovered)
leader L2 of team T0 discovered at 34984.000000 that M30 is in danger (after 6604ms proces-to-process, 5793ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 21789.000000 that M5 is in danger (after 2232ms proces-to-process, 2009ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 23340.000000 that M4 is in danger (after 1208ms proces-to-process, 805ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 39768.000000 that M7 is in danger (after 9945ms proces-to-process, 8114ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 34984.000000 that M6 is in danger (after 12513ms proces-to-process, 10482ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 34984.000000 that M1 is in danger (after 10140ms proces-to-process, 9264ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
