Config: 
--------------------------------------------
leader L2 of team T0 discovered at 26233.000000 that M39 is in danger (after 2640ms proces-to-process, 444ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 27314.000000 that M38 is in danger (after 1558ms proces-to-process, 1013ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 24551.000000 that M37 is in danger (after 1619ms proces-to-process, 149ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 20575.000000 that M36 is in danger (after 4930ms proces-to-process, 2297ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L2 of team T0 discovered at 32655.000000 that M35 is in danger (after 4780ms proces-to-process, 1265ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 31981.000000 that M34 is in danger (after 1657ms proces-to-process, 111ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 29867.000000 that M33 is in danger (after 2211ms proces-to-process, 361ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 22779.000000 that M32 is in danger (after 1673ms proces-to-process, 610ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 21789.000000 that M31 is in danger (after 4044ms proces-to-process, 978ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 29066.000000 that M30 is in danger (after 686ms proces-to-process, 89ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 21789.000000 that M5 is in danger (after 2232ms proces-to-process, 1356ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 25851.000000 that M4 is in danger (after 3719ms proces-to-process, 610ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 32655.000000 that M7 is in danger (after 2832ms proces-to-process, 1269ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 25094.000000 that M6 is in danger (after 2623ms proces-to-process, 1104ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 26743.000000 that M1 is in danger (after 1899ms proces-to-process, 610ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 22369.000000 that M0 is in danger (after 1731ms proces-to-process, 1317ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 23545.000000 that M3 is in danger (after 4782ms proces-to-process, 3135ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 31124.000000 that M2 is in danger (after 3694ms proces-to-process, 952ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 33914.000000 that M9 is in danger (after 3556ms proces-to-process, 2780ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 18449.000000 that M8 is in danger (after 1069ms proces-to-process, 611ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 31124.000000 that M42 is in danger (after 1273ms proces-to-process, 224ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
