Config: 
--------------------------------------------
leader L4 of team T2 discovered at 21568.000000 that M48 is in danger (after 1775ms proces-to-process, 399ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 22673.000000 that M49 is in danger (after 4074ms proces-to-process, 1016ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 23657.000000 that M51 is in danger (after 2988ms proces-to-process, 217ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 18610.000000 that M50 is in danger (after 1609ms proces-to-process, 103ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 17080.000000 that M53 is in danger (after 1406ms proces-to-process, 276ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 24538.000000 that M52 is in danger (after 825ms proces-to-process, 33ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 31665.000000 that M42 is in danger (after 1814ms proces-to-process, 417ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L4 of team T2 discovered at 18235.000000 that M36 is in danger (after 2590ms proces-to-process, 417ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 26687.000000 that M40 is in danger (after 3422ms proces-to-process, 1071ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 28754.000000 that M41 is in danger (after 1527ms proces-to-process, 203ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 26013.000000 that M46 is in danger (after 510ms proces-to-process, 79ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 19629.000000 that M47 is in danger (after 2206ms proces-to-process, 27ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 27042.000000 that M44 is in danger (after 2627ms proces-to-process, 1042ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 23657.000000 that M45 is in danger (after 1269ms proces-to-process, 594ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 26687.000000 that M57 is in danger (after 805ms proces-to-process, 99ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 21249.000000 that M56 is in danger (after 2127ms proces-to-process, 472ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 24538.000000 that M43 is in danger (after 3403ms proces-to-process, 448ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 29734.000000 that M58 is in danger (after 773ms proces-to-process, 53ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L5 of team T2 discovered at 21202.000000 that M48 is in danger (after 1409ms proces-to-process, 202ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 22678.000000 that M49 is in danger (after 4079ms proces-to-process, 610ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 25174.000000 that M51 is in danger (after 4505ms proces-to-process, 2032ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L5 of team T2 discovered at 19207.000000 that M50 is in danger (after 2206ms proces-to-process, 950ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 17478.000000 that M53 is in danger (after 1804ms proces-to-process, 202ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 25789.000000 that M52 is in danger (after 2076ms proces-to-process, 945ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 32174.000000 that M42 is in danger (after 2323ms proces-to-process, 1355ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L5 of team T2 discovered at 20627.000000 that M36 is in danger (after 4982ms proces-to-process, 2323ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L5 of team T2 discovered at 27136.000000 that M40 is in danger (after 3871ms proces-to-process, 1232ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 29081.000000 that M41 is in danger (after 1854ms proces-to-process, 688ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 27136.000000 that M46 is in danger (after 1633ms proces-to-process, 862ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 20038.000000 that M47 is in danger (after 2615ms proces-to-process, 665ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 26267.000000 that M44 is in danger (after 1852ms proces-to-process, 13ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 22866.000000 that M45 is in danger (after 478ms proces-to-process, 202ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 27136.000000 that M57 is in danger (after 1254ms proces-to-process, 669ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 21693.000000 that M56 is in danger (after 2571ms proces-to-process, 821ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 25789.000000 that M43 is in danger (after 4654ms proces-to-process, 1345ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 30069.000000 that M58 is in danger (after 1108ms proces-to-process, 609ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L6 of team T3 discovered at 17452.000000 that M55 is in danger (after 1197ms proces-to-process, 698ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L6 of team T3 discovered at 20347.000000 that M54 is in danger (after 1834ms proces-to-process, 315ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 20987.000000 that M62 is in danger (after 2906ms proces-to-process, 336ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L6 of team T3 discovered at 26297.000000 that M63 is in danger (after 1794ms proces-to-process, 163ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 26297.000000 that M60 is in danger (after 861ms proces-to-process, 7ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 27130.000000 that M65 is in danger (after 1822ms proces-to-process, 655ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 30135.000000 that M66 is in danger (after 1917ms proces-to-process, 130ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 32297.000000 that M61 is in danger (after 2295ms proces-to-process, 441ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 23009.000000 that M68 is in danger (after 285ms proces-to-process, 58ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 23009.000000 that M69 is in danger (after 2516ms proces-to-process, 27ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
