Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M151 is in danger (after 3564ms proces-to-process, 3366ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 32313.000000 that M150 is in danger (after 11124ms proces-to-process, 10816ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L16 of team T8 discovered at 25269.000000 that M160 is in danger (after 9621ms proces-to-process, 6961ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L16 of team T8 discovered at 40026.000000 that M161 is in danger (after 20306ms proces-to-process, 18089ms node-to-node, 7hops, 4versions (10 first, 14 discovered)
leader L16 of team T8 discovered at 28079.000000 that M164 is in danger (after 11140ms proces-to-process, 10050ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L16 of team T8 discovered at 33638.000000 that M165 is in danger (after 3216ms proces-to-process, 685ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L16 of team T8 discovered at 34317.000000 that M146 is in danger (after 4514ms proces-to-process, 2215ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 38628.000000 that M147 is in danger (after 16633ms proces-to-process, 13382ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 28746.000000 that M153 is in danger (after 8341ms proces-to-process, 8253ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 33638.000000 that M152 is in danger (after 5150ms proces-to-process, 4412ms node-to-node, 9hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 33638.000000 that M155 is in danger (after 12403ms proces-to-process, 11447ms node-to-node, 4hops, 3versions (10 first, 13 discovered)
leader L16 of team T8 discovered at 26757.000000 that M154 is in danger (after 3868ms proces-to-process, 1855ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 32102.000000 that M156 is in danger (after 8495ms proces-to-process, 7286ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 20199.000000 that M159 is in danger (after 3470ms proces-to-process, 1007ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 21730.000000 that M158 is in danger (after 3110ms proces-to-process, 2207ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 31784.000000 that M148 is in danger (after 7442ms proces-to-process, 7038ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 33638.000000 that M149 is in danger (after 10607ms proces-to-process, 9481ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 37467.000000 that M151 is in danger (after 11654ms proces-to-process, 10982ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 39984.000000 that M150 is in danger (after 18795ms proces-to-process, 18414ms node-to-node, 2hops, 4versions (10 first, 14 discovered)
leader L17 of team T8 discovered at 37467.000000 that M160 is in danger (after 21819ms proces-to-process, 19129ms node-to-node, 9hops, 0versions (7 first, 7 discovered)
leader L17 of team T8 discovered at 48463.000000 that M161 is in danger (after 28743ms proces-to-process, 26626ms node-to-node, 4hops, 10versions (10 first, 20 discovered)
leader L17 of team T8 discovered at 46748.000000 that M164 is in danger (after 29809ms proces-to-process, 28839ms node-to-node, 4hops, 5versions (8 first, 13 discovered)
